CountryName,LadderScore,upperwhisker,lowerwhisker,LogGDPperCapita,SocialSupport,Healthy LifeExpectancy,FreedomToMakeLifeChoices,ExplainedGenerosity,PerceptionsOfCorruption,DystopiaResidual
Finland,7.74069976806641,7.81480836868286,7.66659116744995,1.8440535068512,1.57236683368683,0.694792568683624,0.859294176101685,0.141674339771271,0.546157777309418,2.08236742019653
Denmark,7.5826997756958,7.66529655456543,7.50010299682617,1.90779769420624,1.52036130428314,0.698944449424744,0.822739899158478,0.203578561544418,0.54841285943985,1.88088655471802
Iceland,7.52510023117065,7.6175274848938,7.43267297744751,1.88071799278259,1.61652541160583,0.718344688415527,0.818508684635162,0.258343786001205,0.182472705841064,2.05023336410522
Sweden,7.34409999847412,7.42156314849854,7.26663684844971,1.87814557552338,1.50082612037659,0.723871469497681,0.838269352912903,0.221455171704292,0.523795485496521,1.65770721435547
Israel,7.34110021591187,7.40516471862793,7.2770357131958,1.80293357372284,1.51279282569885,0.739816188812256,0.641462862491608,0.153205454349518,0.192822679877281,2.29802560806274
Netherlands,7.3193998336792,7.38257646560669,7.25622320175171,1.90065670013428,1.46204698085785,0.705882728099823,0.725081264972687,0.247361242771149,0.372420966625214,1.90591335296631
Norway,7.30170011520386,7.38873434066772,7.21466588973999,1.95195555686951,1.5165399312973,0.703792214393616,0.835375726222992,0.224142640829086,0.483932554721832,1.58594465255737
Luxembourg,7.12190008163452,7.21273612976074,7.0310640335083,2.1405189037323,1.35462558269501,0.707603931427002,0.801213085651398,0.14568218588829,0.432411015033722,1.53983688354492
Switzerland,7.06020021438599,7.14741516113281,6.97298526763916,1.9702684879303,1.42493224143982,0.746743500232697,0.759159564971924,0.173306435346603,0.497612655162811,1.48814916610718
Australia,7.05690002441406,7.14065980911255,6.97314023971558,1.85425841808319,1.46109127998352,0.69201797246933,0.75627064704895,0.225207895040512,0.323351919651031,1.74474382400513
New Zealand,7.02920007705688,7.10453701019287,6.9538631439209,1.81034886837006,1.52694022655487,0.672621488571167,0.74554717540741,0.226082280278206,0.480216890573502,1.56745052337646
Costa Rica,6.95539999008179,7.05089235305786,6.85990762710571,1.56064510345459,1.3730103969574,0.660845577716827,0.79651153087616,0.108507573604584,0.122948542237282,2.33297395706177
